  score1=36, score2=12, dur=601.3, team1=jjdrift, team2=ericadam, winner=jjdrift, mtype=rescue_r2, mhash_short=[CALM-LOOT], mhash_lshort=V-CALM-LOOT, mhash=mhash=250512-0213V-CALM-LOOT,utc=1747030383.85
  score1=25, score2=9, dur=950.1, team1=mineswp, team2=ews2011, winner=mineswp, mtype=rescue_r2, mhash_short=[GLIB-GUTS], mhash_lshort=H-GLIB-GUTS, mhash=mhash=250512-0213H-GLIB-GUTS,utc=1747030432.29
  score1=31, score2=20, dur=704.8, team1=ericadam, team2=ews2011, winner=ericadam, mtype=rescue_r2, mhash_short=[ICED-ABEL], mhash_lshort=Q-ICED-ABEL, mhash=mhash=250512-0214Q-ICED-ABEL,utc=1747030498.68
  score1=51, score2=2, dur=950.1, team1=bruno752, team2=chthigpen, winner=bruno752, mtype=rescue_r2, mhash_short=[DEAR-BIRD], mhash_lshort=J-DEAR-BIRD, mhash=mhash=250512-0215J-DEAR-BIRD,utc=1747030552.32
  score1=52, score2=2, dur=950.3, team1=bruno752, team2=ericadam, winner=bruno752, mtype=rescue_r2, mhash_short=[PINK-SHAW], mhash_lshort=B-PINK-SHAW, mhash=mhash=250512-0216B-PINK-SHAW,utc=1747030618.25
  score1=45, score2=4, dur=950.1, team1=bruno752, team2=chthigpen, winner=bruno752, mtype=rescue_r2, mhash_short=[JUST-WIMP], mhash_lshort=Q-JUST-WIMP, mhash=mhash=250512-0218Q-JUST-WIMP,utc=1747030684.19
  score1=26, score2=13, dur=950.2, team1=ews2011, team2=mineswp, winner=ews2011, mtype=rescue_r2, mhash_short=[BACK-LOVE], mhash_lshort=F-BACK-LOVE, mhash=mhash=250512-0219F-BACK-LOVE,utc=1747030750.54
  score1=44, score2=6, dur=950.2, team1=jjdrift, team2=chthigpen, winner=jjdrift, mtype=rescue_r2, mhash_short=[LIKE-BILL], mhash_lshort=A-LIKE-BILL, mhash=mhash=250512-0220A-LIKE-BILL,utc=1747030816.64
  score1=45, score2=6, dur=615.6, team1=jcizu690, team2=ericadam, winner=jcizu690, mtype=rescue_r2, mhash_short=[BOBS-UTAH], mhash_lshort=P-BOBS-UTAH, mhash=mhash=250512-0221P-BOBS-UTAH,utc=1747030882.53
  score1=39, score2=11, dur=797.3, team1=bruno752, team2=jcizu690, winner=bruno752, mtype=rescue_r2, mhash_short=[HARD-ERLE], mhash_lshort=Z-HARD-ERLE, mhash=mhash=250512-0222Z-HARD-ERLE,utc=1747030931.76
  score1=35, score2=18, dur=660.9, team1=bertucci, team2=ews2011, winner=bertucci, mtype=rescue_r2, mhash_short=[COLD-NEON], mhash_lshort=V-COLD-NEON, mhash=mhash=250512-0223V-COLD-NEON,utc=1747030990.16
  score1=28, score2=24, dur=558.7, team1=jcizu690, team2=bertucci, winner=jcizu690, mtype=rescue_r2, mhash_short=[HOLY-ROCK], mhash_lshort=L-HOLY-ROCK, mhash=mhash=250512-0224L-HOLY-ROCK,utc=1747031041.62
